序號,識別內容,X,Y,Width,Height,Confidence
1,AV C101,52,182,105,106,0.826
2,AV C102,166,183,106,102,0.876
3,AV C105,280,184,107,104,0.861
4,C AV C106,394,182,105,101,0.876
5,AV C107,510,183,108,101,0.832
6,AV C109,624,183,105,103,0.882
7,AV C110,738,183,108,100,0.862
8,AV C111,852,183,106,103,0.879
9,AV C112,966,182,106,101,0.866
10,AV C113,1080,183,105,103,0.836
11,AV C114,52,297,105,112,0.819
12,AV C201,166,296,109,111,0.9
13,AV C202,281,297,107,110,0.857
14,AV C203,394,296,107,111,0.906
15,AV C204,510,297,110,112,0.846
16,AV C205,624,297,108,112,0.906
17,O AV C206,737,297,111,112,0.879
18,AV C207,852,296,106,111,0.892
19,O AV C208,966,296,110,111,0.903
20,AV C302,1081,297,106,111,0.852
21,AV C303,52,409,105,107,0.77
22,AV C304,166,410,110,104,0.83
23,AV C305,281,410,108,106,0.821
24,AV C306,394,410,109,104,0.836
25,AV C401,510,410,109,105,0.78
26,AV C402,624,410,107,105,0.844
27,AV C405,738,410,112,105,0.814
28,AV C406,853,410,106,105,0.843
29,AV C407,967,410,110,105,0.846
30,C AV C408,1081,410,106,104,0.808
31,AV C409,52,524,105,111,0.84
32,C AV D601,166,525,108,110,0.905
33,C AV N601,280,525,107,111,0.862
34,AV N603,395,525,108,110,0.911
35,AV N604,510,525,110,109,0.856
36,AV N605,624,525,107,110,0.906
37,O AV N606,737,525,111,110,0.887
38,C AV N607,852,525,106,111,0.895
39,AV W201,966,525,110,110,0.91
40,AV W202,1080,525,107,111,0.861
41,AV W203,52,640,105,109,0.755
42,AV W204,166,640,108,106,0.832
43,AV W205,280,640,107,106,0.785
44,AV W206,395,640,108,107,0.843
45,AV W401,510,640,110,107,0.773
46,AV W402,624,641,107,108,0.842
47,AV W403,738,640,110,106,0.814
48,AV W404,852,641,106,109,0.822
49,BV A601,965,640,109,106,0.83
50,BV A602,1080,640,107,107,0.766
51,BV A603,52,753,104,108,0.84
52,BV N601,166,752,109,107,0.891
53,BV N602,280,753,106,109,0.865
54,BV N603,394,752,107,107,0.896
55,CV D601,510,753,110,107,0.838
56,CV N601,624,753,108,108,0.9
57,C CV N602,738,753,110,106,0.881
58,CV N603,852,753,106,108,0.892
59,CV W401,966,752,109,107,0.903
60,CV W402,1079,754,105,108,0.858
61,CV W403,52,869,105,111,0.803
62,CV W404,166,868,108,109,0.878
63,CV W405,280,869,107,109,0.834
64,MV C101,394,868,107,109,0.885
65,MV C102,510,869,110,110,0.829
66,MV C106,624,869,106,110,0.889
67,MV C107,738,869,110,110,0.857
68,MV C201,852,869,105,110,0.863
69,MV C202,966,868,108,109,0.881
70,MV C205,1080,869,107,109,0.827
71,MV C206,52,981,105,108,0.823
72,C MV C301,167,980,107,105,0.869
73,C MV C302,281,981,107,107,0.841
74,MV C303,396,980,106,105,0.876
75,MV C304,510,981,109,105,0.816
76,MV D601,625,981,106,107,0.881
77,O MV N401,740,981,109,106,0.871
78,MV N601,853,981,105,108,0.872
79,C MV W401,968,981,108,107,0.88
80,C NV N601,1079,982,105,108,0.851
81,NV W401,52,1097,105,112,0.847
82,NV W402,167,1097,108,110,0.905
83,RV A601,282,1097,109,111,0.864
84,RV A602,397,1097,108,111,0.918
85,C RV A603,511,1097,111,112,0.866
86,RV N601,626,1097,106,111,0.911
87,RV N602,739,1097,109,111,0.898
88,RV N603,854,1097,107,111,0.893
